16	16
23
0	0	2	1	
0	1	20	4	
0	4	20	2	
0	2	11	1	
0	1	15	3	
0	3	20	1	
0	1	21	5	
0	5	15	3	
0	3	16	4	
0	2	13	5	
0	5	17	2	
0	2	10	5	
0	5	16	3	
0	3	14	2	
0	2	19	2	
0	2	5	0	
2	0	5	6	
14	12	6	19	
13	11	20	16	
13	16	7	21	
22	8	15	14	
20	14	9	15	
21	15	7	18	
15	9	12	11	
16	6	9	7	
13	7	15	14	
15	16	21	19	
10	19	8	11	
12	21	14	14	
19	14	16	18	
19	18	13	14	
5	18	4	0	
3	0	4	21	
6	21	17	17	
20	17	16	7	
7	7	19	22	
15	9	10	18	
9	18	19	6	
11	6	12	16	
12	10	10	14	
13	14	9	12	
10	17	15	14	
21	14	19	14	
8	16	19	10	
14	10	7	18	
16	18	21	20	
22	20	13	14	
4	9	1	0	
4	0	5	7	
13	19	11	16	
14	16	19	15	
19	14	13	16	
10	18	16	16	
10	15	19	21	
12	7	21	22	
13	22	22	20	
9	9	17	14	
15	20	16	13	
12	6	12	18	
19	18	7	8	
20	8	22	14	
21	9	16	11	
13	10	7	10	
1	6	1	0	
5	0	5	7	
11	7	20	17	
19	15	6	11	
13	7	19	20	
11	20	16	20	
19	22	22	22	
10	22	10	21	
16	21	14	12	
17	7	6	9	
16	10	11	12	
12	21	6	22	
14	11	8	13	
22	13	6	11	
16	6	18	19	
18	15	19	18	
1	18	3	0	
4	0	5	10	
10	10	21	16	
6	11	15	8	
11	7	14	12	
16	12	8	10	
13	8	8	11	
13	8	12	13	
14	13	8	17	
6	17	18	17	
11	17	7	17	
6	15	22	12	
8	12	19	14	
6	14	14	9	
18	19	17	21	
13	21	7	11	
4	11	4	0	
5	0	4	15	
21	15	8	16	
15	16	13	15	
12	15	7	22	
8	12	20	20	
8	15	12	18	
12	18	13	20	
8	20	13	18	
19	18	6	13	
7	21	9	16	
22	20	18	13	
9	13	19	18	
18	18	11	6	
17	6	10	12	
12	12	10	19	
4	17	2	0	
4	0	1	17	
8	10	22	16	
8	16	8	7	
7	16	9	21	
20	21	9	18	
12	7	22	9	
13	19	16	12	
21	12	10	19	
6	19	21	10	
13	10	15	22	
18	7	8	22	
19	14	15	16	
11	6	9	16	
10	22	15	20	
9	20	6	15	
2	15	3	0	
1	0	3	22	
15	15	21	19	
8	19	17	21	
9	22	19	22	
12	22	17	18	
17	9	6	19	
16	19	6	8	
16	8	18	22	
21	10	19	18	
12	18	20	12	
8	12	14	21	
15	10	15	16	
9	6	16	8	
15	8	9	7	
11	10	11	15	
3	15	4	0	
3	0	1	12	
14	12	21	13	
17	13	8	7	
19	6	10	7	
17	15	14	22	
6	6	15	18	
22	17	10	21	
18	21	9	22	
10	22	11	6	
11	6	10	6	
8	6	10	22	
6	22	19	13	
16	13	16	21	
20	10	18	14	
11	14	20	9	
4	7	2	0	
1	0	5	19	
21	19	15	11	
8	11	17	22	
10	22	6	10	
14	11	6	17	
7	17	17	17	
22	17	11	22	
9	7	13	21	
11	21	7	21	
10	6	18	18	
8	18	15	9	
8	9	20	9	
7	9	15	20	
18	8	12	7	
20	7	11	15	
4	15	3	0	
5	0	1	16	
8	16	6	22	
17	7	9	10	
8	13	8	12	
6	12	12	20	
21	8	18	9	
11	21	16	19	
14	19	20	17	
7	17	16	19	
9	10	22	9	
22	9	18	11	
7	11	21	19	
18	15	6	7	
20	7	12	17	
11	17	9	20	
3	8	2	0	
1	0	4	21	
17	21	7	21	
9	6	9	14	
12	13	7	20	
14	20	10	8	
18	15	12	13	
14	13	22	11	
13	17	13	9	
16	9	17	17	
8	17	19	8	
18	7	15	17	
7	18	17	22	
6	14	16	19	
12	12	12	14	
14	21	13	22	
2	22	5	0	
4	0	5	6	
19	6	21	18	
9	7	19	8	
12	11	9	10	
10	10	22	11	
12	11	9	7	
11	11	11	14	
13	14	11	18	
17	8	17	18	
21	11	14	13	
16	13	8	20	
17	20	10	12	
16	8	15	17	
13	17	6	21	
13	22	20	9	
4	6	4	0	
5	0	3	15	
16	15	13	20	
11	20	12	11	
9	11	13	9	
20	9	9	13	
8	13	11	9	
14	10	14	20	
16	20	10	7	
17	7	15	14	
14	6	17	16	
8	12	21	8	
14	8	20	22	
20	8	17	19	
20	12	6	22	
20	22	21	20	
4	12	1	0	
4	0	0	3	
13	1	0	4	
14	4	0	2	
10	2	0	5	
9	5	0	1	
11	5	0	1	
10	1	0	3	
7	3	0	5	
15	5	0	2	
10	2	0	2	
6	2	0	3	
7	3	0	1	
17	1	0	3	
6	3	0	3	
18	3	0	2	
1	2	0	0	
